build.time	wall=26.86 user=80.38 system=5.95 max_rss=1458733056
repaired-build.time	wall=2.89 user=3.03 system=0.83 max_rss=249462784
cold-build.time	wall=104.19 user=703.21 system=33.44 max_rss=1814298624
canonical-build.time	wall=91.82 user=668.77 system=29.10 max_rss=1693761536
probe-build.time	wall=15.48 user=66.52 system=3.54 max_rss=1436860416
probe.time	wall=11.44 user=10.59 system=0.06 max_rss=55443456
startup-1.time	wall=0.52 user=0.19 system=0.16 max_rss=7127040
startup-2.time	wall=0.46 user=0.19 system=0.17 max_rss=7127040
cli-help.time	wall=0.62 user=0.00 system=0.00 max_rss=7356416
cli-help-warm.time	wall=0.16 user=0.08 system=0.05 max_rss=7405568
boundary.time	wall=0.11 user=0.03 system=0.02 max_rss=17465344
synthetic.time	wall=0.15 user=0.10 system=0.01 max_rss=17088512
economic.time	wall=0.15 user=0.14 system=0.01 max_rss=26624000
names.time	wall=0.21 user=0.18 system=0.01 max_rss=19906560
workflow-build-1.time	wall=24.21 user=32.55 system=2.68 max_rss=1441972224
workflow-build-2.time	wall=0.09 user=0.04 system=0.03 max_rss=70500352
workflow-check-1.time	wall=0.17 user=0.04 system=0.04 max_rss=70369280
workflow-check-2.time	wall=0.16 user=0.03 system=0.04 max_rss=70451200
workflow-clippy_--all-targets-1.time	wall=11.93 user=20.64 system=1.87 max_rss=1250557952
workflow-clippy_--all-targets-2.time	wall=0.14 user=0.07 system=0.05 max_rss=71286784
workflow-test-1.time	wall=11.14 user=13.82 system=1.05 max_rss=536707072
workflow-test-2.time	wall=10.85 user=14.04 system=0.99 max_rss=536903680
workflow-test_--no-run-1.time	wall=0.33 user=0.04 system=0.08 max_rss=71106560
workflow-test_--no-run-2.time	wall=0.20 user=0.06 system=0.05 max_rss=71663616
canonical-build-1.time	wall=19.89 user=27.55 system=1.87 max_rss=1534590976
canonical-check-1.time	wall=19.94 user=33.75 system=3.29 max_rss=1227915264
canonical-clippy_--all-targets-1.time	wall=16.33 user=32.30 system=1.77 max_rss=1335312384
canonical-test-1.time	wall=15.45 user=13.69 system=1.00 max_rss=535789568
canonical-test_--no-run-1.time	wall=21.78 user=115.19 system=10.88 max_rss=1230012416
